Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"July 15, 2025 - January 9, 2026"
Statement,Data,WhenGenerated,"2026-01-11, 12:07:15 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,DUK415187
Account Information,Data,Account Type,Individual
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Margin
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,74898.6397786,0,-318801.21158856,-318801.21158856,-393699.85136716
Net Asset Value,Data,Stock,1134720.71,1707411.1347,0,1707411.1347,572690.4247
Net Asset Value,Data,Interest Accruals,52.12,0,-326.29,-326.29,-378.41
Net Asset Value,Data,Total,1209671.4697786,1707411.1347,-319127.50158856,1388283.63311144,178612.16333284
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,14.765344789%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,1209671.4697786
Change in NAV,Data,Mark-to-Market,170651.4643
Change in NAV,Data,Dividends,8409.14
Change in NAV,Data,Interest,42.725936
Change in NAV,Data,Change in Interest Accruals,-378.486096
Change in NAV,Data,Commissions,-113.78648282
Change in NAV,Data,Other FX Translations,1.105675659
Change in NAV,Data,Ending Value,1388283.63311144
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,AAPL,51,96,208.6200,259.3700,1714.8,-79.2,-1,26.52,1661.12,
Mark-to-Market Performance Summary,Data,Stocks,ABBV,51,50,191.5200,220.0800,1462.56,2.62,-1.000166,167.28,1631.459834,
Mark-to-Market Performance Summary,Data,Stocks,ABT,61,79,132.0300,125.9200,-357.59,-12.78,-1,71.98,-299.39,
Mark-to-Market Performance Summary,Data,Stocks,ACN,24,27,279.9900,280.6700,58.56,-7.95,-1,39.12,88.73,
Mark-to-Market Performance Summary,Data,Stocks,ADBE,15,20,366.9900,333.9500,-557.15,65.8,-1,0,-492.35,
Mark-to-Market Performance Summary,Data,Stocks,ADI,25,23,243.4600,300.9300,1397.47,-5.92,-1.000332,47.52,1438.069668,
Mark-to-Market Performance Summary,Data,Stocks,ADP,0,23,--,266.0200,100.97,31.74,-1,39.1,170.81,
Mark-to-Market Performance Summary,Data,Stocks,ALC,43,43,87.3200,80.1300,-309.17,0,0,0,-309.17,
Mark-to-Market Performance Summary,Data,Stocks,ALNY,8,8,315.7500,398.2900,660.32,0,0,0,660.32,
Mark-to-Market Performance Summary,Data,Stocks,AMAT,31,36,197.1000,301.1800,3392.38,-15,-1,28.52,3404.9,
Mark-to-Market Performance Summary,Data,Stocks,AMD,143,223,146.2400,203.1700,6956.99,-6.4,-1,0,6949.59,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,0,23,--,326.1000,-87.17,-270.48,-1,0,-358.65,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,262,217,225.6900,247.3800,4879.53,33.3,-1.00747,0,4911.82253,
Mark-to-Market Performance Summary,Data,Stocks,ANET,0,51,--,122.8900,-290.7,6.12,-1,0,-285.58,
