Statement,Header,Field Name,Field Value
Statement,Data,BrokerName,Interactive Brokers Ireland Limited
Statement,Data,BrokerAddress,
Statement,Data,Title,Activity Statement
Statement,Data,Period,"March 21, 2025 - January 14, 2026"
Statement,Data,WhenGenerated,"2026-01-15, 14:44:55 EST"
Account Information,Header,Field Name,Field Value
Account Information,Data,Name,Stichting Legal Owner Keheilan Fund
Account Information,Data,Account,U17994267 (Custom Consolidated)
Account Information,Data,Accounts Included,"U20993660, U17994267"
Account Information,Data,Master Name,Keheilan Fund Management B.V.
Account Information,Data,Account Type,Institution Master
Account Information,Data,Customer Type,Partnership
Account Information,Data,Account Capabilities,Cash
Account Information,Data,Base Currency,USD
Net Asset Value,Header,Asset Class,Prior Total,Current Long,Current Short,Current Total,Change
Net Asset Value,Data,Cash ,0,99000.92188213,0,99000.92188213,99000.92188213
Net Asset Value,Data,Stock,0,2112793.31,0,2112793.31,2112793.31
Net Asset Value,Data,Interest Accruals,0,69.52,0,69.52,69.52
Net Asset Value,Data,Dividend Accruals,0,103.95,0,103.95,103.95
Net Asset Value,Data,Total,0,2211967.70188213,0,2211967.70188213,2211967.70188213
Net Asset Value,Header,Time Weighted Rate of Return
Net Asset Value,Data,-57.908479365%
Change in NAV,Header,Field Name,Field Value
Change in NAV,Data,Starting Value,0
Change in NAV,Data,Mark-to-Market,44849.4967
Change in NAV,Data,Deposits & Withdrawals,2131226.96
Change in NAV,Data,Dividends,35196.37
Change in NAV,Data,Withholding Tax,-7557.01
Change in NAV,Data,Change in Dividend Accruals,103.93
Change in NAV,Data,Interest,11380.23
Change in NAV,Data,Change in Interest Accruals,69.52
Change in NAV,Data,Other Fees,-795.08
Change in NAV,Data,Commissions,-2321.64828087
Change in NAV,Data,Transaction Fees,-30.942337
Change in NAV,Data,Sales Tax,-154.1442
Change in NAV,Data,Other FX Translations,0.02
Change in NAV,Data,Ending Value,2211967.70188213
Mark-to-Market Performance Summary,Header,Asset Category,Symbol,Prior Quantity,Current Quantity,Prior Price,Current Price,Mark-to-Market P/L Position,Mark-to-Market P/L Transaction,Mark-to-Market P/L Commissions,Mark-to-Market P/L Other,Mark-to-Market P/L Total,Code
Mark-to-Market Performance Summary,Data,Stocks,AAPL,0,25,--,259.9600,27.28,-22.9952,-13.002408,1.55,-7.167608,
Mark-to-Market Performance Summary,Data,Stocks,ABBV,0,12,--,221.8900,55.47,3.5204,-7.00116,4.18,56.16924,
Mark-to-Market Performance Summary,Data,Stocks,ABT,0,18,--,125.0000,-81.89,26.8324,-6.001226,2.51,-58.548826,
Mark-to-Market Performance Summary,Data,Stocks,ACN,0,6,--,288.5400,127.32,-4.103,-6.000486,2.45,119.666514,
Mark-to-Market Performance Summary,Data,Stocks,ADBE,0,4,--,304.4400,-167.95,15.745,-6.000276,0,-158.205276,
Mark-to-Market Performance Summary,Data,Stocks,ADI,0,5,--,297.9900,204.29,-2.9213,-10.000906,2.52,193.887794,
Mark-to-Market Performance Summary,Data,Stocks,ADP,0,5,--,258.5000,-40.8,-0.3526,-7.000486,4.33,-43.823086,
Mark-to-Market Performance Summary,Data,Stocks,ALC,0,0,--,--,-18.64,3.6,-3.00168,0,-18.04168,
Mark-to-Market Performance Summary,Data,Stocks,AMAT,0,8,--,301.8900,978.13,-4.665,-9.001167,2.74,967.203833,
Mark-to-Market Performance Summary,Data,Stocks,AMD,0,57,--,223.6000,-1759.38,-503.3164,-31.1427,0,-2293.8391,
Mark-to-Market Performance Summary,Data,Stocks,AMGN,0,6,--,328.9700,133.65,9.784,-7.000486,6.07,142.503514,
Mark-to-Market Performance Summary,Data,Stocks,AMZN,0,56,--,236.6500,137.02,158.8295,-18.08066,0,277.76884,
Mark-to-Market Performance Summary,Data,Stocks,ANET,0,12,--,125.0900,-61.97,-13.1235,-6.00053,0,-81.09403,
Mark-to-Market Performance Summary,Data,Stocks,APD,0,0,--,--,-7.92,7.3,-3.00042,0,-3.62042,
Mark-to-Market Performance Summary,Data,Stocks,APH,0,13,--,146.7500,244.69,-1.71,-5.000552,3.6,241.579448,
Mark-to-Market Performance Summary,Data,Stocks,APP,0,2,--,617.7600,-32.785,-6.005,-2.000022,0,-40.790022,
Mark-to-Market Performance Summary,Data,Stocks,ARM,0,14,--,104.9900,-358.11,-46.29,-8.000784,0,-412.400784,
Mark-to-Market Performance Summary,Data,Stocks,ASML,0,8,--,"1,263.7200",3811.69,26.6139,-20.051324,160.15,3978.402576,
Mark-to-Market Performance Summary,Data,Stocks,AU,0,0,--,--,0,16,-2.011,0,13.989,
Mark-to-Market Performance Summary,Data,Stocks,AVGO,0,24,--,339.8900,1239.24,-269.8602,-27.072502,50.67,992.977298,
Mark-to-Market Performance Summary,Data,Stocks,AZN,0,26,--,96.3400,300.13,17.26,-8.923902,0,308.466098,
Mark-to-Market Performance Summary,Data,Stocks,BA,0,40,--,242.6100,4055.07,-1400.1739,-16.085142,0,2638.810958,
Mark-to-Market Performance Summary,Data,Stocks,BABA,0,35,--,169.9000,677.91,-41.3132,-5.001822,0,631.594978,
Mark-to-Market Performance Summary,Data,Stocks,BSX,0,3,--,93.7400,-4.68,-2.1693,-2.880715,0,-9.730015,
Mark-to-Market Performance Summary,Data,Stocks,BYDDY,0,199,--,12.4000,8.21,-12.79,-10.04995897,0,-14.62995897,
