symbol,price,current_qty,current_value,current_weight_pct,target_weight_pct,target_shares,planned_action,planned_qty,tws_buy,tws_sell,tws_status,projected_qty,projected_value,projected_weight_pct,conflict
AAPL,248.0399932861328,96.0,23811.83935546875,1.6726,0,0,,0,22,0,PendingSubmit,118.0,29268.719207763672,2.0559,"EXTRA: TWS=BUY 22, Plan=none"
ABBV,219.25999450683594,50.0,10962.999725341797,0.7701,0,0,,0,7,0,PendingSubmit,57.0,12497.819686889648,0.8779,"EXTRA: TWS=BUY 7, Plan=none"
ABT,107.41999816894531,79.0,8486.17985534668,0.5961,0,0,,0,20,0,PendingSubmit,99.0,10634.579818725586,0.747,"EXTRA: TWS=BUY 20, Plan=none"
ACN,281.07000732421875,27.0,7588.890197753906,0.5331,0,0,,0,0,0,,27.0,7588.890197753906,0.5331,
ADBE,301.07000732421875,20.0,6021.400146484375,0.423,0,0,,0,3,0,PendingSubmit,23.0,6924.610168457031,0.4864,"EXTRA: TWS=BUY 3, Plan=none"
ADI,305.6000061035156,23.0,7028.800140380859,0.4937,0,0,,0,0,0,,23.0,7028.800140380859,0.4937,
ADP,257.8699951171875,23.0,5931.0098876953125,0.4166,0,0,,0,0,0,,23.0,5931.0098876953125,0.4166,
ALC,80.29000091552734,43.0,3452.470039367676,0.2425,0,0,,0,0,40,PendingSubmit,3.0,240.87000274658203,0.0169,"EXTRA: TWS=SELL 40, Plan=none"
ALNY,357.9800109863281,8.0,2863.840087890625,0.2012,0,0,,0,0,8,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 8, Plan=none"
AMAT,322.3800048828125,36.0,11605.68017578125,0.8152,0,0,,0,0,0,,36.0,11605.68017578125,0.8152,
AMD,259.67999267578125,223.0,57908.63836669922,4.0676,0,0,,0,0,0,,223.0,57908.63836669922,4.0676,
AMGN,344.75,23.0,7929.25,0.557,0,0,,0,0,0,,23.0,7929.25,0.557,
AMZN,239.16000366210938,217.0,51897.720794677734,3.6454,0,0,,0,0,0,,217.0,51897.720794677734,3.6454,
ANET,136.33999633789062,51.0,6953.339813232422,0.4884,0,0,,0,0,0,,51.0,6953.339813232422,0.4884,
APD,261.3500061035156,15.0,3920.2500915527344,0.2754,0,0,,0,0,15,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 15, Plan=none"
APH,150.99000549316406,52.0,7851.480285644531,0.5515,0,0,,0,0,0,,52.0,7851.480285644531,0.5515,
APP,524.4099731445312,9.0,4719.689758300781,0.3315,0,0,,0,4,0,PendingSubmit,13.0,6817.329650878906,0.4789,"EXTRA: TWS=BUY 4, Plan=none"
ARGX,814.739990234375,5.0,4073.699951171875,0.2861,0,0,,0,0,5,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 5, Plan=none"
ARM,116.06999969482422,47.0,5455.289985656738,0.3832,0,0,,0,14,0,PendingSubmit,61.0,7080.269981384277,0.4973,"EXTRA: TWS=BUY 14, Plan=none"
ASML,1389.0400390625,33.0,45838.3212890625,3.2197,0,0,,0,0,0,,33.0,45838.3212890625,3.2197,
AVGO,320.04998779296875,95.0,30404.74884033203,2.1357,0,0,,0,44,0,PendingSubmit,139.0,44486.948303222656,3.1248,"EXTRA: TWS=BUY 44, Plan=none"
AZN,92.94999694824219,111.0,10317.449661254883,0.7247,0,0,,0,0,0,,111.0,10317.449661254883,0.7247,
BA,252.14999389648438,166.0,41856.898986816406,2.9401,0,0,,0,0,0,,166.0,41856.898986816406,2.9401,
BABA,173.22999572753906,146.0,25291.579376220703,1.7765,0,0,,0,0,0,,146.0,25291.579376220703,1.7765,
BKNG,5098.5,1.0,5098.5,0.3581,0,0,,0,0,1,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 1, Plan=none"
BSX,92.51000213623047,13.0,1202.630027770996,0.0845,0,0,,0,0,0,,13.0,1202.630027770996,0.0845,
BYDDY,12.779999732971191,784.0,10019.519790649414,0.7038,0,0,,0,0,0,,784.0,10019.519790649414,0.7038,
CAT,626.6199951171875,13.0,8146.0599365234375,0.5722,0,0,,0,0,0,,13.0,8146.0599365234375,0.5722,
CEG,289.05999755859375,15.0,4335.899963378906,0.3046,0,0,,0,0,15,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 15, Plan=none"
CL,86.66000366210938,49.0,4246.340179443359,0.2983,0,0,,0,0,47,PendingSubmit,2.0,173.32000732421875,0.0122,"EXTRA: TWS=SELL 47, Plan=none"
CMCSA,29.299999237060547,291.0,8526.29977798462,0.5989,0,0,,0,0,0,,291.0,8526.29977798462,0.5989,
CMG,40.869998931884766,64.0,2615.679931640625,0.1837,0,0,,0,0,54,PendingSubmit,10.0,408.69998931884766,0.0287,"EXTRA: TWS=SELL 54, Plan=none"
COP,98.3499984741211,85.0,8359.749870300293,0.5872,0,0,,0,0,0,,85.0,8359.749870300293,0.5872,
COR,353.4800109863281,13.0,4595.240142822266,0.3228,0,0,,0,0,13,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 13, Plan=none"
CORT,43.97999954223633,39.0,1715.2199821472168,0.1205,0,0,,0,0,20,PendingSubmit,19.0,835.6199913024902,0.0587,"EXTRA: TWS=SELL 20, Plan=none"
COST,983.25,14.0,13765.5,0.9669,0,0,,0,0,0,,14.0,13765.5,0.9669,
CRM,228.0500030517578,40.0,9122.000122070312,0.6407,0,0,,0,6,0,PendingSubmit,46.0,10490.30014038086,0.7369,"EXTRA: TWS=BUY 6, Plan=none"
CRWD,452.489990234375,12.0,5429.8798828125,0.3814,0,0,,0,3,0,PendingSubmit,15.0,6787.349853515625,0.4768,"EXTRA: TWS=BUY 3, Plan=none"
CSCO,74.58999633789062,120.0,8950.799560546875,0.6287,0,0,,0,15,0,PendingSubmit,135.0,10069.649505615234,0.7073,"EXTRA: TWS=BUY 15, Plan=none"
CTVA,71.69999694824219,49.0,3513.299850463867,0.2468,0,0,,0,0,49,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 49, Plan=none"
CVX,166.72000122070312,86.0,14337.920104980469,1.0071,0,0,,0,0,0,,86.0,14337.920104980469,1.0071,
DD,44.13999938964844,56.0,2471.8399658203125,0.1736,0,0,,0,0,56,PendingSubmit,0.0,0.0,0.0,"EXTRA: TWS=SELL 56, Plan=none"
DE,514.4299926757812,14.0,7202.0198974609375,0.5059,0,0,,0,0,0,,14.0,7202.0198974609375,0.5059,
DECK,99.9800033569336,30.0,2999.400100708008,0.2107,0,0,,0,0,28,PendingSubmit,2.0,199.9600067138672,0.014,"EXTRA: TWS=SELL 28, Plan=none"
DHR,235.00999450683594,29.0,6815.289840698242,0.4787,0,0,,0,0,0,,29.0,6815.289840698242,0.4787,
DXCM,72.86000061035156,40.0,2914.4000244140625,0.2047,0,0,,0,0,0,,40.0,2914.4000244140625,0.2047,
