order_id,perm_id,client_id,account,symbol,sec_type,exchange,action,quantity,order_type,limit_price,aux_price,tif,status,filled,remaining,avg_fill_price
4,0,908,DUK415187,ALC,STK,SMART,SELL,40.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
5,0,908,DUK415187,ALNY,STK,SMART,SELL,8.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
6,0,908,DUK415187,APD,STK,SMART,SELL,15.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
7,0,908,DUK415187,ARGX,STK,SMART,SELL,5.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
8,0,908,DUK415187,AVGO,STK,SMART,BUY,44.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
9,0,908,DUK415187,BKNG,STK,SMART,SELL,1.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
10,0,908,DUK415187,CEG,STK,SMART,SELL,15.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
11,0,908,DUK415187,CL,STK,SMART,SELL,47.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
12,0,908,DUK415187,CMG,STK,SMART,SELL,54.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
13,0,908,DUK415187,COR,STK,SMART,SELL,13.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
14,0,908,DUK415187,CORT,STK,SMART,SELL,20.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
15,0,908,DUK415187,CTVA,STK,SMART,SELL,49.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
16,0,908,DUK415187,DD,STK,SMART,SELL,56.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
17,0,908,DUK415187,DECK,STK,SMART,SELL,28.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
18,0,908,DUK415187,EA,STK,SMART,SELL,54.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
19,0,908,DUK415187,ECL,STK,SMART,SELL,15.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
20,0,908,DUK415187,EOG,STK,SMART,SELL,58.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
21,0,908,DUK415187,FERG,STK,SMART,SELL,17.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
22,0,908,DUK415187,FTNT,STK,SMART,SELL,40.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
23,0,908,DUK415187,GE,STK,SMART,SELL,990.0,MKT,1.7976931348623157e+308,1.7976931348623157e+308,DAY,PendingSubmit,0.0,0.0,0.0
