account,symbol,sec_type,exchange,currency,con_id,quantity,avg_cost,market_value
DUK415187,DECK,STK,NYSE,USD,268376,30.0,109.77227,3293.1681000000003
DUK415187,ALNY,STK,NASDAQ,USD,29442968,8.0,248.4842375,1987.8739
DUK415187,BABA,STK,NYSE,USD,166090175,146.0,159.3068493,23258.7999978
DUK415187,LRCX,STK,NASDAQ,USD,732440574,44.0,158.94272725,6993.479998999999
DUK415187,BKNG,STK,NASDAQ,USD,308728373,1.0,4467.06,4467.06
DUK415187,CMG,STK,NYSE,USD,37655664,64.0,49.08983595,3141.7495008
DUK415187,TMO,STK,NYSE,USD,12869,13.0,440.7997846,5730.3971998
DUK415187,ETN,STK,NYSE,USD,118017869,29.0,340.01448275,9860.41999975
DUK415187,IBM,STK,NYSE,USD,8314,29.0,245.27175515,7112.88089935
DUK415187,SPGI,STK,NYSE,USD,229629397,17.0,497.02882355,8449.49000035
DUK415187,CL,STK,NYSE,USD,5749,49.0,90.71035715,4444.80750035
DUK415187,KLAC,STK,NASDAQ,USD,270957,5.0,1225.2,6126.0
DUK415187,PCAR,STK,NASDAQ,USD,272992,38.0,89.96389475,3418.6280005
DUK415187,COST,STK,NASDAQ,USD,272997,14.0,961.8025643,13465.2359002
DUK415187,PPG,STK,NYSE,USD,11295,65.0,101.3453846,6587.449999
DUK415187,ECL,STK,NYSE,USD,6682,15.0,243.92392665,3658.85889975
DUK415187,MPNGY,STK,PINK,USD,337473540,261.0,30.61331455,7990.07509755
DUK415187,FTNT,STK,NASDAQ,USD,70236214,51.0,105.95787845,5403.851800949999
DUK415187,ROST,STK,NASDAQ,USD,273939,14.0,177.60142855,2486.4199997
DUK415187,ABBV,STK,NYSE,USD,118089500,50.0,189.384682,9469.2341
DUK415187,JNJ,STK,NYSE,USD,8719,65.0,153.9034369,10003.7233985
DUK415187,TJX,STK,NYSE,USD,12814,43.0,124.3714442,5347.9721006
DUK415187,TSLA,STK,NASDAQ,USD,76792991,50.0,386.489324,19324.4662
